version,block,exp,id,sentence,cond,gender,structure,phonot_freq,lex_freq,figurativeness,target,distractor,noun,noun_transparency,subject_antecedent,object_antecedent,sentence_wav,pictureA_i,pictureA,pictureB_i,pictureB,CorrectPicture,SubjectBias,RespAllowedTime,StartSentence,onsetQue,onsetDet,onsetN,onsetTarget,offsetTarget,iOffset1,iOffsetN,iOnsetTarget,iOffsetTarget,sOffset1,sOnsetV1,sOnsetC2,sOnsetC3,sOnsetV2,sOffsetTarget,AonsetS,AoffsetS,AonsetO,AoffsetO,AonsetPN,AonsetAux,AonsetGerund,AonsetTarget,AoffsetTarget,end_sentence
NA,NA,NA,PA_C3,"Mientras el escultor llama al traductor, está elaborando un diccionario en el despacho",NA,NA,NA,NA,NA,NA,diccionario,monumento,NA,NA,escultor,traductor,PA_C3.wav,monumento,PAsubj.bmp,diccionario,PAobj.bmp,PAobj.bmp,PAsubj.bmp,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,PD_C4,Dice que la mochila rayada contiene nuestras cosas. ,NA,NA,d+n+adj,NA,NA,NA,rayada,rayado,mochila,transp,NA,NA,PD_C4.wav,rayada,PDfem.bmp,rayado,PDmasc.bmp,PDfem.bmp,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,PI_C1,El cirujano trató de vida o muerte la operación,NA,NA,NA,NA,NA,fig,tiempo,muerte,NA,NA,NA,NA,PI_C1.wav,muerte,PImuerte.bmp,tiempo,PItiempo.bmp,PImuerte.bmp,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,PS_C2,El dueño mezcló las bebidas,NA,NA,NA,NA,NA,NA,mezcló,mezcla,NA,NA,NA,NA,PS_C2.wav,mezcló,PSmezclo.bmp,mezcla,PSmezcla.bmp,PSmezclo.bmp,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,anaphora,A01_C1,"Mientras el mensajero abandona al boxeador, está tirando un sobre a la basura.",1,NA,NA,NA,NA,NA,sobre,guante,NA,NA,mensajero,boxeador,A01_C1.wav,sobre,A01subj.bmp,guante,A01obj.bmp,A01subj.bmp,A01subj.bmp,3.88516,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643725,1.262484,1.841103,2.60172,2.900161,2.900161,3.228149,3.88516,4.21592,4.926832
2,1,anaphora,A01_C2,"Mientras el mensajero abandona al boxeador, él está tirando un sobre a la basura.",2,NA,NA,NA,NA,NA,sobre,guante,NA,NA,mensajero,boxeador,A01_C2.wav,sobre,A01subj.bmp,guante,A01obj.bmp,A01subj.bmp,A01subj.bmp,3.901125,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632177,1.248368,1.86764,2.640121,2.960859,3.119036,3.393341,3.901125,4.261907,4.997889
3,1,anaphora,A01_C3,"Mientras el mensajero abandona al boxeador, está tirando un guante a la basura.",3,NA,NA,NA,NA,NA,guante,sobre,NA,NA,mensajero,boxeador,A01_C3.wav,guante,A01obj.bmp,sobre,A01subj.bmp,A01obj.bmp,A01subj.bmp,4.993175,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638003,1.289012,1.936737,2.698241,2.997014,2.997014,3.303406,4.993175,4.235265,4.975284
4,1,anaphora,A01_C4,"Mientras el mensajero abandona al boxeador, él está tirando un guante a la basura.",4,NA,NA,NA,NA,NA,guante,sobre,NA,NA,mensajero,boxeador,A01_C4.wav,guante,A01obj.bmp,sobre,A01subj.bmp,A01obj.bmp,A01subj.bmp,3.835599,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616738,1.188771,1.809782,2.540145,2.840173,3.008875,3.276253,3.835599,4.175277,4.843909
3,1,anaphora,A02_C1,"Mientras el señor aguanta al niño, está leyendo un poema en el jardín.",1,NA,NA,NA,NA,NA,poema,cómic,NA,NA,señor,niño,A02_C1.wav,poema,A02subj.bmp,cómic,A02obj.bmp,A02subj.bmp,A02subj.bmp,3.128332,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637593,1.004897,1.553483,1.974555,2.274081,2.274081,2.595584,3.128332,3.57149,4.362074
4,1,anaphora,A02_C2,"Mientras el señor aguanta al niño, él está leyendo un poema en el jardín.",2,NA,NA,NA,NA,NA,poema,cómic,NA,NA,señor,niño,A02_C2.wav,poema,A02subj.bmp,cómic,A02obj.bmp,A02subj.bmp,A02subj.bmp,3.458894,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675223,1.09376,1.653889,2.119924,2.420053,2.579025,2.868507,3.458894,3.888641,4.742444
